epsilon,macro_f1_mean,ci_lower,ci_upper,n,dp_noise_multiplier,is_baseline
9.209958991683898,0.8969460763234847,0.8969460763234847,0.8969460763234847,1,1.5,0
12.301691480042896,0.8060309821374749,0.7396000620290821,0.8724619022458677,5,2.0,0
16.51287594668254,0.8336742740993376,0.8336742740993376,0.8336742740993376,1,1.5,0
17.6647086427425,0.8709018148687244,0.1608060385408564,1.5809975911965926,2,1.5,0
30.12663110385034,0.890691149722436,0.8395968649502501,0.9417854344946219,5,1.0,0
49.49557037588816,0.9229678026000194,0.8846738326796157,0.9612617725204231,5,0.7,0
81.116308425056,0.9493719647901614,0.921905726314497,0.9768382032658258,5,0.5,0
180.4799780439935,0.9783358624129186,0.9656337947719162,0.9910379300539209,5,0.3,0
1211.7782575788603,0.9972734559287874,0.9964571803600735,0.9980897314975012,5,0.1,0
,0.9818241741687682,0.9322731827449862,1.0313751655925503,5,,1
