round,agg_method,n_clients,byzantine_f,l2_to_benign_mean,cos_to_benign_mean,coord_median_agree_pct,update_norm_mean,update_norm_std,t_aggregate_ms,t_round_ms
1,fedavg,2,,1.9944370856101192,0.9703244566917419,32.60810627626407,8.120911836624146,0.9493825435638428,0.09087500075111166,13168.266667000353
2,fedavg,5,,4.3470921158452684,0.863365113735199,17.127558628168632,9.217102813720704,1.2887160431101066,0.09695800144982059,1617.2077499995794
3,fedavg,5,,3.3858145691361394,0.944852352142334,17.317337671140027,10.29421272277832,1.295403525358485,0.07391600047412794,283.02608400008467
4,fedavg,5,,2.8742915115175602,0.9726482033729553,14.99254439474041,11.618698692321777,1.2135973738457153,0.075459000072442,272.3612089994276
5,fedavg,5,,3.159454083465476,0.9761520028114319,15.778771858479057,13.274743461608887,1.4416310366530136,0.08420899939665105,382.4039589999302
6,fedavg,5,,2.590710680175076,0.9873669743537903,16.442998508878947,14.830389404296875,1.103669356556993,0.07979200017871335,293.7322920006409
7,fedavg,5,,2.0505877549986082,0.9923000335693359,13.962315304324251,16.102591133117677,0.8775087791339239,0.06625000060012098,252.77174999973795
8,fedavg,5,,2.1301251386631996,0.9931156635284424,15.480547648095433,17.140443420410158,0.8405477418651321,0.07904199992481153,253.20120800097357
9,fedavg,5,,2.2935478453085847,0.9925122857093811,12.53897248203877,18.07501335144043,0.8063028800322901,0.07129100049496628,259.37399999929767
10,fedavg,5,,2.4342275941381892,0.9927505850791931,17.371560254846145,19.21271209716797,0.9574208561880378,0.07420799920510035,285.1404590001039
