client_id,round,dataset_size,n_classes,loss_before,acc_before,loss_after,acc_after,macro_f1_before,macro_f1_after,f1_per_class_after,fpr_after,pr_auc_after,threshold_tau,seed,weight_norm_before,weight_norm_after,weight_update_norm,t_fit_ms,epochs_completed,lr,batch_size
2,1,4201,2,0.6862652386937823,0.6028537455410226,0.0449086235934999,0.995243757431629,0.6028486918752616,0.9950233152649892,"{""0"": 0.009467455621301775, ""1"": 0.9960707269155207}",0.011976047904191617,0.9965553462245543,0.6170365810394287,,5.742919168114253,10.639368866236234,8.742026776062733,1237.3378339998453,1,0.01,64
2,2,4201,2,0.08659747475758195,0.9619500594530321,0.007308604727898326,0.9988109393579072,0.9607843137254901,0.9987577639751553,"{""0"": 0.0023752969121140144, ""1"": 0.9990147783251232}",0.005988023952095809,0.9999765886160074,0.4541853666305542,,8.54538160427985,12.008500114861587,6.367984745563342,196.514749999551,1,0.01,64
2,3,4201,2,0.0009231339988348607,1.0,0.02791671845313561,0.9964328180737217,1.0,0.9962732919254659,"{""0"": 0.004750593824228029, ""1"": 0.9970443349753695}",0.008982035928143712,0.9991011088688292,0.03391706943511963,,10.701793881117908,13.871346621382466,5.824727728869913,181.94591700012097,1,0.01,64
2,4,4201,2,8.475368898481455e-05,1.0,0.018719226986149806,0.9976218787158145,1.0,0.9975142465299945,"{""0"": 0.004744958481613286, ""1"": 0.9980314960629921}",0.005988023952095809,0.9999766118951299,0.7414113283157349,,12.75036619662111,15.380471052565978,4.793055652492792,229.39762500027427,1,0.01,64
2,5,4201,2,4.870606077129429e-05,1.0,0.008729362347886698,0.9988109393579072,1.0,0.9987577639751553,"{""0"": 0.0023752969121140144, ""1"": 0.9990147783251232}",0.0029940119760479044,1.0,0.9982509016990662,,14.49888101359942,16.194332440827985,3.9722171936314434,179.80050000005576,1,0.01,64
2,6,4201,2,1.1441675235035476e-07,1.0,0.007909642587255001,0.9988109393579072,1.0,0.9987590324289468,"{""0"": 0.0, ""1"": 0.9990128331688055}",0.0029940119760479044,0.9999883977259543,0.4002576470375061,,15.469472125566393,16.430923396156917,3.577393094159914,209.46625000033237,1,0.01,64
2,7,4201,2,0.0002564055306858913,1.0,0.09653328066419371,0.9976218787158145,1.0,0.9975142465299945,"{""0"": 0.004744958481613286, ""1"": 0.9980314960629921}",0.008982035928143712,0.9960630073819794,1.0609626770019531e-05,,16.06141152965957,17.35983337802343,4.0686879723089735,180.7774580011028,1,0.01,64
2,8,4201,2,0.0006015265493520669,1.0,0.019216534548566803,0.9988109393579072,1.0,0.9987577639751553,"{""0"": 0.0023752969121140144, ""1"": 0.9990147783251232}",0.0029940119760479044,1.0,0.9999999403953552,,16.81203284266023,17.410301201259546,2.7771976563049825,183.28866599949833,1,0.01,64
2,9,4201,2,5.454876169811282e-09,1.0,1.1974141043781727e-09,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 1.0}",0.0029940119760479044,1.0,1.0728836059570312e-06,,17.177666618989925,17.185315710334546,0.1439153853651622,171.48516599991126,1,0.01,64
2,10,4201,2,0.0,1.0,1.3304607415776104e-10,1.0,1.0,1.0,"{""0"": 0.0, ""1"": 1.0}",0.0029940119760479044,1.0,1.1920928955078125e-07,,17.199017604116925,17.200325629194875,0.03359859916903511,167.71800000060466,1,0.01,64
