alpha,mu,algorithm,metric,mean,ci_lower,ci_upper,n
0.05,0.0,FedAvg,weighted_macro_f1,0.973189239960411,0.923322546020142,1.02305593390068,5
0.05,0.0,FedAvg,mean_aggregation_time_ms,0.11752517333547982,0.09248115655612225,0.14256919011483737,5
0.05,0.01,FedProx,weighted_macro_f1,0.9455430162604351,0.7955140104194758,1.0955720221013945,5
0.05,0.01,FedProx,mean_aggregation_time_ms,0.1085807466669545,0.10578274822640221,0.11137874510750678,5
0.05,0.1,FedProx,weighted_macro_f1,0.9931931706368939,0.9754730875884072,1.0109132536853807,5
0.05,0.1,FedProx,mean_aggregation_time_ms,0.11045185333235467,0.10480971063107149,0.11609399603363786,5
0.1,0.0,FedAvg,weighted_macro_f1,0.9999040274064004,0.9997476603237482,1.0000603944890525,5
0.1,0.0,FedAvg,mean_aggregation_time_ms,0.10726546666546706,0.10635098713561345,0.10817994619532068,5
0.1,0.01,FedProx,weighted_macro_f1,0.999823346974857,0.9995930034206635,1.0000536905290505,5
0.1,0.01,FedProx,mean_aggregation_time_ms,0.11503159999923203,0.10711338036449752,0.12294981963396653,5
0.1,0.1,FedProx,weighted_macro_f1,0.9966016823782532,0.9908710523336931,1.0023323124228132,5
0.1,0.1,FedProx,mean_aggregation_time_ms,0.11018548000151893,0.10810411093434014,0.11226684906869772,5
0.5,0.0,FedAvg,weighted_macro_f1,0.9992131713590489,0.9972493677367077,1.00117697498139,5
0.5,0.0,FedAvg,mean_aggregation_time_ms,0.1154558533327569,0.10941563100500985,0.12149607566050395,5
0.5,0.01,FedProx,weighted_macro_f1,0.9975268081539914,0.9949258023662709,1.0001278139417118,5
0.5,0.01,FedProx,mean_aggregation_time_ms,0.11406698666670911,0.10855364817998817,0.11958032515343006,5
0.5,0.1,FedProx,weighted_macro_f1,0.9993146620771043,0.9986061920730017,1.0000231320812067,5
0.5,0.1,FedProx,mean_aggregation_time_ms,0.11099971999972995,0.1085388235448322,0.1134606164546277,5
